,Boat,Time,Country,Rank,Date,FinalType,Year,City
18,JM4-,4:54.54,AUT,3,1982-08-08 00:00:00,FB,1982,Piediluco
19,JM4-,4:58.19,SUI,4,1982-08-08 00:00:00,FB,1982,Piediluco
20,JM4-,4:59.20,URU,5,1982-08-08 00:00:00,FB,1982,Piediluco
21,JM4-,4:59.99,ESP,6,1982-08-08 00:00:00,FB,1982,Piediluco
22,JM4x,4:33.33,RDA,1,1982-08-08 00:00:00,FA,1982,Piediluco
23,JM4x,4:35.74,URS,2,1982-08-08 00:00:00,FA,1982,Piediluco
24,JM4x,4:36.02,BUL,3,1982-08-08 00:00:00,FA,1982,Piediluco
25,JM4x,4:36.64,FRA,4,1982-08-08 00:00:00,FA,1982,Piediluco
26,JM4x,4:40.88,ITA,5,1982-08-08 00:00:00,FA,1982,Piediluco
27,JM4x,4:41.63,HOL,6,1982-08-08 00:00:00,FA,1982,Piediluco
28,JM4x,4:34.09,POL,1,1982-08-08 00:00:00,FB,1982,Piediluco
29,JM4x,4:35.58,SUE,2,1982-08-08 00:00:00,FB,1982,Piediluco
30,JM4x,4:37.37,YOU,3,1982-08-08 00:00:00,FB,1982,Piediluco
31,JM4x,4:38.36,ESP,4,1982-08-08 00:00:00,FB,1982,Piediluco
32,JM4x,4:39.72,RFA,5,1982-08-08 00:00:00,FB,1982,Piediluco
33,JM4x,4:45.63,GRE,6,1982-08-08 00:00:00,FB,1982,Piediluco
34,JM8+,4:27.90,RFA,1,1982-08-08 00:00:00,FA,1982,Piediluco
35,JM8+,4:29.05,USA,2,1982-08-08 00:00:00,FA,1982,Piediluco
36,JM8+,4:29.39,FRA,3,1982-08-08 00:00:00,FA,1982,Piediluco
37,JM8+,4:29.48,URS,4,1982-08-08 00:00:00,FA,1982,Piediluco
38,JM8+,4:31.05,RDA,5,1982-08-08 00:00:00,FA,1982,Piediluco
39,JM8+,4:33.85,GBR,6,1982-08-08 00:00:00,FA,1982,Piediluco
40,JM8+,4:33.21,ITA,1,1982-08-08 00:00:00,FB,1982,Piediluco
41,JM8+,4:34.72,HON,2,1982-08-08 00:00:00,FB,1982,Piediluco
42,JM8+,4:39.28,ESP,3,1982-08-08 00:00:00,FB,1982,Piediluco
43,JM8+,4:44.19,GRE,4,1982-08-08 00:00:00,FB,1982,Piediluco
44,JW4+,3:32.30,URS,1,1982-08-08 00:00:00,F,1982,Piediluco
45,JW4+,3:33.32,FRA,2,1982-08-08 00:00:00,F,1982,Piediluco
46,JW4+,3:34.45,BUL,3,1982-08-08 00:00:00,F,1982,Piediluco
47,JW4+,3:34.48,RDA,4,1982-08-08 00:00:00,F,1982,Piediluco
48,JW4+,3:35.58,RFA,5,1982-08-08 00:00:00,F,1982,Piediluco
49,JW8+,3:12.64,RDA,1,1982-08-08 00:00:00,F,1982,Piediluco
50,JW8+,3:17.05,RFA,2,1982-08-08 00:00:00,F,1982,Piediluco
51,JW8+,3:17.12,URS,3,1982-08-08 00:00:00,F,1982,Piediluco
0,W4+,3:17.16,URS,1,1982-08-28 00:00:00,FA,1982,Lucerne
1,W4+,3:19.55,USA,2,1982-08-28 00:00:00,FA,1982,Lucerne
2,W4+,3:19.71,ROU,3,1982-08-28 00:00:00,FA,1982,Lucerne
3,W8+,2:57.97,URS,1,1982-08-28 00:00:00,FA,1982,Lucerne
4,W8+,3:01.50,USA,2,1982-08-28 00:00:00,FA,1982,Lucerne
5,W8+,3:02.89,GDR,3,1982-08-28 00:00:00,FA,1982,Lucerne
6,M4+,6:19.04,RDA,1,1982-08-29 00:00:00,FA,1982,Lucerne
7,M4+,6:21.69,TCH,2,1982-08-29 00:00:00,FA,1982,Lucerne
8,M4+,6:25.33,USA,3,1982-08-29 00:00:00,FA,1982,Lucerne
9,M4+,6:25.41,URS,4,1982-08-29 00:00:00,FA,1982,Lucerne
10,M4+,6:28.13,GBR,5,1982-08-29 00:00:00,FA,1982,Lucerne
11,M4+,6:36.45,POL,6,1982-08-29 00:00:00,FA,1982,Lucerne
12,M4+,6:28.97,AUS,1,1982-08-29 00:00:00,FB,1982,Lucerne
13,M4+,6:29.33,ITA,2,1982-08-29 00:00:00,FB,1982,Lucerne
14,M4+,6:32.14,BUL,3,1982-08-29 00:00:00,FB,1982,Lucerne
15,M4+,6:33.11,IRL,4,1982-08-29 00:00:00,FB,1982,Lucerne
16,M4+,6:34.04,HOL,5,1982-08-29 00:00:00,FB,1982,Lucerne
17,M4+,6:35.73,FRA,6,1982-08-29 00:00:00,FB,1982,Lucerne
18,M4-,6:10.41,SUI,1,1982-08-29 00:00:00,FA,1982,Lucerne
19,M4-,6:11.82,URS,2,1982-08-29 00:00:00,FA,1982,Lucerne
20,M4-,6:12.32,ROU,3,1982-08-29 00:00:00,FA,1982,Lucerne
21,M4-,6:13.93,TCH,4,1982-08-29 00:00:00,FA,1982,Lucerne
22,M4-,6:18.43,DAN,5,1982-08-29 00:00:00,FA,1982,Lucerne
23,M4-,6:19.82,GER,6,1982-08-29 00:00:00,FA,1982,Lucerne
24,M4-,6:15.19,USA,1,1982-08-29 00:00:00,FB,1982,Lucerne
25,M4-,6:16.00,ITA,2,1982-08-29 00:00:00,FB,1982,Lucerne
26,M4-,6:17.63,GBR,3,1982-08-29 00:00:00,FB,1982,Lucerne
27,M4-,6:18.24,HOL,4,1982-08-29 00:00:00,FB,1982,Lucerne
28,M4-,6:21.64,BUL,5,1982-08-29 00:00:00,FB,1982,Lucerne
29,M4-,6:32.49,FRA,6,1982-08-29 00:00:00,FB,1982,Lucerne
30,M4x,5:55.50,RDA,1,1982-08-29 00:00:00,FA,1982,Lucerne
31,M4x,5:59.10,RFA,2,1982-08-29 00:00:00,FA,1982,Lucerne
32,M4x,6:00.90,URS,3,1982-08-29 00:00:00,FA,1982,Lucerne
33,M4x,6:01.42,ITA,4,1982-08-29 00:00:00,FA,1982,Lucerne
34,M4x,6:01.60,FRA,5,1982-08-29 00:00:00,FA,1982,Lucerne
35,M4x,6:08.85,GBR,6,1982-08-29 00:00:00,FA,1982,Lucerne
36,M4x,5:59.64,BUL,1,1982-08-29 00:00:00,FB,1982,Lucerne
37,M4x,6:05.63,TCH,2,1982-08-29 00:00:00,FB,1982,Lucerne
38,M4x,6:09.60,POL,3,1982-08-29 00:00:00,FB,1982,Lucerne
39,M4x,6:14.49,USA,4,1982-08-29 00:00:00,FB,1982,Lucerne
40,M8+,5:36.99,NZL,1,1982-08-29 00:00:00,FA,1982,Lucerne
41,M8+,5:39.17,RDA,2,1982-08-29 00:00:00,FA,1982,Lucerne
42,M8+,5:39.52,RUS,3,1982-08-29 00:00:00,FA,1982,Lucerne
43,M8+,5:40.91,USA,4,1982-08-29 00:00:00,FA,1982,Lucerne
44,M8+,5:43.99,RFA,5,1982-08-29 00:00:00,FA,1982,Lucerne
45,M8+,5:45.26,FRA,6,1982-08-29 00:00:00,FA,1982,Lucerne
46,M8+,5:45.19,TCH,1,1982-08-29 00:00:00,FB,1982,Lucerne
47,M8+,5:47.66,GBR,2,1982-08-29 00:00:00,FB,1982,Lucerne
0,JM4+,5:08.59,URS,1,1983-08-07 00:00:00,FA,1983,Vichy
1,JM4+,5:10.93,RDA,2,1983-08-07 00:00:00,FA,1983,Vichy
2,JM4+,5:17.23,RFA,3,1983-08-07 00:00:00,FA,1983,Vichy
3,JM4+,5:20.69,ITA,4,1983-08-07 00:00:00,FA,1983,Vichy
4,JM4+,5:23.03,TCH,5,1983-08-07 00:00:00,FA,1983,Vichy
5,JM4+,5:26.58,CAN,6,1983-08-07 00:00:00,FA,1983,Vichy
6,JM4+,5:16.92,GRE,1,1983-08-07 00:00:00,FB,1983,Vichy
7,JM4+,5:17.84,AUS,2,1983-08-07 00:00:00,FB,1983,Vichy
8,JM4+,5:17.91,GBR,3,1983-08-07 00:00:00,FB,1983,Vichy
9,JM4+,5:21.79,HOL,4,1983-08-07 00:00:00,FB,1983,Vichy
10,JM4-,5:08.74,RDA,1,1983-08-07 00:00:00,FA,1983,Vichy
11,JM4-,5:09.77,GBR,2,1983-08-07 00:00:00,FA,1983,Vichy
12,JM4-,5:15.94,FRA,3,1983-08-07 00:00:00,FA,1983,Vichy
13,JM4-,5:20.46,HON,4,1983-08-07 00:00:00,FA,1983,Vichy
14,JM4-,5:23.19,ITA,5,1983-08-07 00:00:00,FA,1983,Vichy
15,JM4-,5:31.93,ESP,6,1983-08-07 00:00:00,FA,1983,Vichy
16,JM4-,5:19.57,RFA,1,1983-08-07 00:00:00,FB,1983,Vichy
17,JM4-,5:24.56,SUI,2,1983-08-07 00:00:00,FB,1983,Vichy
18,JM4-,5:28.07,SUE,3,1983-08-07 00:00:00,FB,1983,Vichy
19,JM4x,4:57.86,RDA,1,1983-08-07 00:00:00,FA,1983,Vichy
20,JM4x,5:03.94,BUL,2,1983-08-07 00:00:00,FA,1983,Vichy
21,JM4x,5:05.02,FRA,3,1983-08-07 00:00:00,FA,1983,Vichy
22,JM4x,5:07.24,HOL,4,1983-08-07 00:00:00,FA,1983,Vichy
23,JM4x,5:11.73,DAN,5,1983-08-07 00:00:00,FA,1983,Vichy
24,JM4x,5:12.35,BEL,6,1983-08-07 00:00:00,FA,1983,Vichy
25,JM4x,5:02.56,RFA,1,1983-08-07 00:00:00,FB,1983,Vichy
26,JM4x,5:03.49,ESP,2,1983-08-07 00:00:00,FB,1983,Vichy
27,JM4x,5:07.58,AUT,3,1983-08-07 00:00:00,FB,1983,Vichy
28,JM4x,5:09.21,GRE,4,1983-08-07 00:00:00,FB,1983,Vichy
29,JM4x,5:18.15,GBR,5,1983-08-07 00:00:00,FB,1983,Vichy
30,JM8+,4:38.15,RDA,1,1983-08-07 00:00:00,FA,1983,Vichy
31,JM8+,4:39.13,URS,2,1983-08-07 00:00:00,FA,1983,Vichy
32,JM8+,4:40.41,FRA,3,1983-08-07 00:00:00,FA,1983,Vichy
33,JM8+,4:40.68,RFA,4,1983-08-07 00:00:00,FA,1983,Vichy
34,JM8+,4:44.58,ITA,5,1983-08-07 00:00:00,FA,1983,Vichy
35,JM8+,4:49.51,ESP,6,1983-08-07 00:00:00,FA,1983,Vichy
36,JM8+,4:52.66,USA,1,1983-08-07 00:00:00,FB,1983,Vichy
37,JM8+,4:54.85,TCH,2,1983-08-07 00:00:00,FB,1983,Vichy
38,JM8+,4:55.12,GBR,3,1983-08-07 00:00:00,FB,1983,Vichy
39,JM8+,5:05.36,GRE,4,1983-08-07 00:00:00,FB,1983,Vichy
