,FinalType,Competitors,NOC,Time,500 m,"1,000 m","1,500 m","500-1,000 m","1,000-1,500 m","1,500-2,000 m",Rank,Boat,Year,City
4,Final A,Ukraine,UKR,5:58.87,1:28.23,2:59.96,4:32.10,1:31.73,1:32.14,1:26.77,3,M4x,2004,SchiniasNationalPark
6,Final A,Poland,POL,5:58.94,1:26.29,2:57.21,4:28.03,1:30.92,1:30.82,1:30.91,4,M4x,2004,SchiniasNationalPark
8,Final A,Germany,GER,6:07.04,1:26.10,2:59.34,4:31.55,1:33.24,1:32.21,1:35.49,5,M4x,2004,SchiniasNationalPark
10,Final A,Belarus,BLR,6:09.33,1:29.79,3:03.79,4:36.96,1:34.00,1:33.17,1:32.37,6,M4x,2004,SchiniasNationalPark
0,Final B,Australia,AUS,6:02.31,1:28.17,2:59.41,4:31.70,1:31.24,1:32.29,1:30.61,7,M4x,2004,SchiniasNationalPark
2,Final B,Switzerland,SUI,6:04.53,1:30.69,3:03.03,4:35.14,1:32.34,1:32.11,1:29.39,8,M4x,2004,SchiniasNationalPark
4,Final B,Estonia,EST,6:05.11,1:30.33,3:02.08,4:34.39,1:31.75,1:32.31,1:30.72,9,M4x,2004,SchiniasNationalPark
6,Final B,Italy,ITA,6:06.91,1:28.00,3:00.03,4:34.77,1:32.03,1:34.74,1:32.14,10,M4x,2004,SchiniasNationalPark
8,Final B,United States,USA,6:07.83,1:30.52,3:06.45,4:37.40,1:35.93,1:30.95,1:30.43,11,M4x,2004,SchiniasNationalPark
10,Final B,Great Britain,GBR,6:07.87,1:31.04,3:03.30,4:36.82,1:32.26,1:33.52,1:31.05,12,M4x,2004,SchiniasNationalPark
0,Final A,Poland,POL,5:41.33,1:23.28,2:48.78,4:15.70,1:25.50,1:26.92,1:25.63,1,M4x,2008,Shunyi
2,Final A,Italy,ITA,5:43.57,1:23.59,2:49.95,4:17.63,1:26.36,1:27.68,1:25.94,2,M4x,2008,Shunyi
4,Final A,France,FRA,5:44.34,1:24.29,2:51.97,4:20.17,1:27.68,1:28.20,1:24.17,3,M4x,2008,Shunyi
